tweet_id	text	created_at	retweet_count	user_id	screen_name	#followers	#followings	#statuses	keywords	hashtags	urls
786107916914978816	Delighted to join @NCS as Chairman of NCS Patrons, so I can continue my support for this amazing youth programme: https://t.co/wFpSPpB7NZ	2016-10-12 07:35:07	211	103065157	David Cameron	1605242	391	2504	[]	[]	['https://www.facebook.com/DavidCameronOfficial/posts/1303533243004324']
784689643677712385	Out campaigning for @robertcourts in Chipping Norton this morning. I think he'll make a great MP. https://t.co/TP3977twQS	2016-10-08 09:39:24	279	103065157	David Cameron	1605242	391	2504	[]	[]	[]
784080077562740736	RT @robertcourts: Fantastic to visit Carterton Community College with @David_Cameron today to meet some of the students and team. https://t…	2016-10-06 17:17:12	79	103065157	David Cameron	1605242	391	2504	[]	[]	[]
784080057547579392	RT @robertcourts: Read more about my plan for Witney &amp; West Oxfordshire and let me know your views in my residents survey at https://t.co/K…	2016-10-06 17:17:07	26	103065157	David Cameron	1605242	391	2504	[]	[]	[]
781042051970371584	One of the founding fathers of Israel and a believer in peace has left us. Today we mourn the loss of a great man.	2016-09-28 08:05:10	467	103065157	David Cameron	1605242	391	2504	[]	[]	[]
753872109303128064	A sickening and dreadful attack in Nice. I know we stand with the French people and share their values. They shall never defeat us.	2016-07-15 08:41:31	1756	103065157	David Cameron	1605242	391	2504	['people']	[]	[]
753255058196881408	It's been a privilege to serve the country that I love.	2016-07-13 15:49:35	9199	103065157	David Cameron	1605242	391	2504	[]	[]	[]
753192942077145088	Proof... https://t.co/UZVXn6WcUw	2016-07-13 11:42:45	12288	103065157	David Cameron	1605242	391	2504	[]	[]	[]
752218301372043264	Congrats @HeatherWatson92 on winning #Wimbledon Mixed Doubles - rounding off a great day for British champions. You've all done us proud.	2016-07-10 19:09:53	478	103065157	David Cameron	1605242	391	2504	[]	['Wimbledon']	[]
752185669578096641	Great to be at #Wimbledon to see @andy_murray's momentous win. A great day for British sport.	2016-07-10 17:00:13	821	103065157	David Cameron	1605242	391	2504	[]	['Wimbledon']	[]
750804559602286593	Well done to @FAWales for their fantastic performance during #Euro2016. You’ve inspired a nation and made Britain proud.	2016-07-06 21:32:10	759	103065157	David Cameron	1605242	391	2504	[]	['Euro2016']	[]
